id,name,area_km2,cafes_count,restaurants_count,bars_count,schools_count,childcare_count,metro_stops,tram_stops,train_stations,parks_area_km2,cafes_density,restaurants_density,bars_density,schools_density,childcare_density,metro_density,tram_density,train_density,parks_share
brussels_city,City of Brussels,33.07066047188798,222,696,150,128,44,141,141,27,10.57243058210135,6.712898890807249,21.045845171179486,4.535742493788682,3.870500261366342,1.33048446484468,4.263597944161361,4.263597944161361,0.8164336488819628,0.31969215102578735
ixelles,Ixelles,6.408051861643289,62,331,57,33,13,4,36,2,0.6821650193086747,9.675327437830793,51.65376422454826,8.895059096070245,5.149771055619615,2.028697688577424,0.6242146734084382,5.617932060675944,0.3121073367042191,0.10645435368460633
uccle,Uccle,22.86427146599152,9,80,9,50,5,0,85,0,4.330404406934556,0.39362723686108536,3.4989087720985363,0.39362723686108536,2.1868179825615854,0.21868179825615852,0.0,3.717590570354695,0.0,0.18939612457696847
etterbeek,Etterbeek,3.172741589327596,16,90,9,38,10,21,19,4,1.0621890417632316,5.042957186876006,28.36663417617753,2.836663417617753,11.977023318830513,3.1518482417975036,6.618881307774758,5.9885116594152565,1.2607392967190014,0.33478586637380164
woluwe_saint_lambert,Woluwe-Saint-Lambert,7.289760216504217,10,77,7,32,10,41,11,8,1.505249461051951,1.3717872334620453,10.562761697657749,0.9602510634234317,4.389719147078545,1.3717872334620453,5.624327657194386,1.5089659568082499,1.0974297867696363,0.20648819938466906
woluwe_saint_pierre,Woluwe-Saint-Pierre,8.940784634500087,16,45,3,25,7,9,39,2,2.886462756703721,1.7895521091359585,5.033115306944883,0.3355410204629922,2.796175170524935,0.7829290477469818,1.0066230613889766,4.362033266018899,0.22369401364199482,0.322842219637596
auderghem,Auderghem,8.960780973270964,5,49,5,19,5,23,12,5,3.5049916738456073,0.5579870789069007,5.468273373287627,0.5579870789069007,2.1203508998462226,0.5579870789069007,2.5667405629717432,1.3391689893765617,0.5579870789069007,0.3911480131364238
watermael_boitsfort,Watermael-Boitsfort,12.9626128984605,6,30,1,15,6,0,12,1,1.6001076412596862,0.4628696426406892,2.314348213203446,0.07714494044011486,1.157174106601723,0.4628696426406892,0.0,0.9257392852813784,0.07714494044011486,0.12344020868275117
saint_gilles,Saint-Gilles,2.532640834933768,69,143,31,22,10,21,43,5,0.49259807964830293,27.244289457965895,56.462802789697434,12.240188017346997,8.686585044568837,3.948447747531289,8.291740269815707,16.97832531438454,1.9742238737656446,0.19449977780255803
forest,Forest,6.289138699766675,20,31,4,29,3,5,38,3,1.5817198530234,3.1800856929331185,4.9291328240463335,0.6360171385866237,4.6111242547530225,0.4770128539399678,0.7950214232332796,6.042162816572925,0.4770128539399678,0.25150023374139946
schaerbeek,Schaerbeek,7.897798565708861,54,96,34,58,15,6,78,3,1.2292855569580472,6.8373483510279005,12.155285957382935,4.304997109906456,7.34381859925219,1.8992634308410836,0.7597053723364334,9.876169840373635,0.3798526861682167,0.15564914029276886
saint_josse,Saint-Josse-ten-Noode,1.1599877727864514,10,42,13,12,1,15,14,3,0.20757289887909022,8.620780524245195,36.207278201829816,11.207014681518753,10.344936629094233,0.8620780524245195,12.931170786367792,12.069092733943272,2.5862341572735583,0.17894404040179782
molenbeek,Molenbeek-Saint-Jean,6.012665330280151,19,30,9,44,5,22,27,6,1.0408141170130625,3.1599962672651736,4.989467790418695,1.4968403371256087,7.317886092614087,0.8315779650697825,3.6589430463070434,4.490521011376826,0.997893558083739,0.173103617088325
anderlecht,Anderlecht,17.90584848208815,25,52,8,81,8,39,25,11,2.6036917808852427,1.396191865747573,2.9040790807549515,0.4467813970392233,4.523661645022136,0.4467813970392233,2.178059310566214,1.396191865747573,0.6143244209289321,0.14541013141543152
evere,Evere,5.122190068362722,18,25,1,16,8,0,15,1,0.5831233915211834,3.5141218423691942,4.880724781068325,0.19522899124273302,3.1236638598837283,1.5618319299418641,0.0,2.9284348686409953,0.19522899124273302,0.11384259149672189
jette,Jette,5.187179387563766,10,54,2,29,18,3,37,2,1.3959353895925084,1.927829992534082,10.410281959684044,0.3855659985068164,5.590706978348838,3.4700939865613476,0.5783489977602246,7.1329709723761034,0.3855659985068164,0.26911261116961865
koekelberg,Koekelberg,1.1813288194678602,4,3,0,10,0,6,14,2,0.534806888242848,3.3860174526190217,2.539513089464266,0.0,8.465043631547553,0.0,5.079026178928532,11.851061084166576,1.6930087263095108,0.45271636434278856
ganshoren,Ganshoren,2.4362900577099396,1,5,1,13,1,0,4,0,0.828270314905119,0.41046015717027495,2.052300785851375,0.41046015717027495,5.3359820432135745,0.41046015717027495,0.0,1.6418406286810998,0.0,0.3399719636354283
berchem_sainte_agathe,Berchem-Sainte-Agathe,2.948706244227103,6,6,0,9,2,0,23,0,0.13811221577266913,2.034790685490166,2.034790685490166,0.0,3.052186028235249,0.6782635618300553,0.0,7.800030961045636,0.0,0.04683824170110586
